target,BCAA_biosynthesis,BCAA_transport,Cellulose_binding,Fatty_acid_utilization,Fatty_acid_utilization_acyl,Glycan_utilization,LPS_biosynthesis,LPS_transport,Phenylalanine_biosynthesis,PTS,Purine_Metabolism,Secretion_System_typeII,Secretion_System_typeIII,Secretion_System_typeIV
hyper,0.04909883960167887,0.0930129207472636,9.217348366389597e-4,1.6459550654267138e-5,3.2919101308534276e-5,0.5115628343346227,0.005332894411982553,1.6459550654267138e-4,0.12433544564233397,0.21534030120977699,0,1.6459550654267138e-4,0,1.6459550654267138e-5
hyper,0.04008886901601319,0.05748539809406702,5.589246290137775e-5,0.0033395746583573206,4.191934717603331e-5,0.5329066875331862,0.009529664924684907,1.2575804152809993e-4,0.06838442835983567,0.2835005449515133,0,0.004331665874856776,0,2.0959673588016655e-4
control,0.05626429793285381,0.037365264524638814,3.0914449413655944e-4,1.4426743059706108e-4,0,0.4223532078893675,0.00579130685682488,1.4426743059706108e-4,0.09422724181282331,0.3818964984233631,0,6.595082541579934e-4,0,8.449949506399291e-4
control,0.034047870806498126,0.05900221090070172,2.114774584254542e-4,0.019455926175141785,0,0.2518312025377295,0.020388349514563107,0.0021243871960011534,0.05859848120734404,0.5243583581659137,9.612611746611554e-6,0.0298663846967221,0,1.057387292127271e-4
control,0.023118638347485253,0.034570571676216334,0,3.068167000329828e-4,0,0.6199308128341425,0.0025389081927729325,7.67041750082457e-6,0.11240996847458407,0.20572059737211496,0,4.448842150478251e-4,0,9.511317701022466e-4
control,0.06041921041921042,0.14916564916564917,2.035002035002035e-5,0.002482702482702483,0,0.36015466015466013,0.0038665038665038664,1.221001221001221e-4,0.08673178673178673,0.3332926332926333,0,0.0034391534391534392,0,3.0525030525030525e-4
hyper,0.060951755825402035,0.07523465703971119,0.0010108303249097472,0,0,0.39283229405973086,0.008848047259599607,5.251066622907778e-5,0.08091893665900886,0.37935018050541514,0,1.0502133245815557e-4,0,6.957663275352806e-4
hyper,0.04670825510265884,0.09426442977409,0,7.267882018048574e-5,0,0.1982193689055781,0.007473805341893284,0,0.0616558657864454,0.5911574102113742,0,8.4791956877233355e-05,0,3.633941009024287e-4
control,0.06990568989406874,0.014861663612389935,6.704509900326286e-5,6.257542573637867e-4,0,0.6983194028516515,0.004559066732221875,4.469673266884191e-5,0.1083672283556072,0.10235551781164796,0,4.91664059357261e-4,0,4.0227059401957716e-4
hyper,0.02418021948962052,0.017155890519635064,1.6527832870554014e-5,0.002363480100489224,0,0.6870206928467539,0.0017519502842787253,4.958349861166204e-5,0.14561847150601614,0.11894254925294195,0,0.0018428533650667724,0,0.001057781303715457
hyper,0.04243865528051022,0.016711706842503515,0,0,0,0.7391633336936547,0.00830180521024754,1.7295427521349044e-4,0.06462004107664036,0.1283536914928116,0,2.1619284401686305e-5,0,2.1619284401686305e-4
control,0.021533405111350372,0.06168187227290758,9.444475926030864e-5,0.02633119888177405,9.444475926030864e-6,0.33327666647777715,0.01638616573166355,6.611133148221605e-4,0.03486900511890595,0.4886288509850588,9.444475926030864e-6,0.016197276213142934,0,3.211121814850494e-4
control,0.04434084829957967,0.06815437523882308,9.170806266717616e-5,0.0022927015666794038,0,0.3772411157814291,0.006771111960259839,2.1398547955674436e-4,0.08542606037447459,0.41241115781429116,0,0.0023079862437906,0,7.489491784486052e-4
hyper,0.0686940511713542,0.05421877976001524,3.8092819503523584e-4,1.0581338750978774e-4,0,0.4958415338708653,0.012062726176115802,1.693014200156604e-4,0.0915709055509703,0.27670200833809494,0,1.0581338750978774e-4,0,1.4813874251370284e-4
control,0.04715424451665313,0.038751523151909016,0,4.0617384240454913e-4,1.269293257514216e-5,0.6722050162469537,0.001967404549147035,1.1423639317627945e-4,0.11054274979691307,0.12810976848090982,0,7.234971567831031e-4,0,1.269293257514216e-5
hyper,0.016933236398885256,0.042757179207560884,0,0.014676481279534715,0,0.33740760935417424,0.004892160426511571,5.755482854719496e-4,0.07803223070398643,0.48773173391494,0,0.016842360353810735,0,1.5146007512419727e-4
control,0.05818995663729193,0.04807199142071152,0,8.70362599275734e-4,0,0.39077726488553177,0.010288929298580999,4.662656781834289e-5,0.07269081922879657,0.417727421084534,0,9.636157349124198e-4,0,3.7301254254674314e-4
control,0.035290051712661925,0.09507961701909784,1.5360196610516614e-4,2.5600327684194356e-4,0,0.6009420920587784,0.006630484870206338,1.2800163842097178e-5,0.11421586196303313,0.14677947877732836,0,5.120065536838871e-4,0,1.2800163842097178e-4
hyper,0.03618379255407532,0.06158673065457282,3.909648033935745e-4,5.473507247510043e-4,0,0.41344527958870503,0.00398784099461446,2.9322360254518086e-5,0.08962868117797695,0.393183528652833,0,2.7367536237550213e-4,0,7.428331264477915e-4
control,0.04000336162702748,0.07927327735714995,1.5280122852187732e-5,0.002910863403341763,0,0.20524261015058562,0.008335307015868407,1.604412899479712e-4,0.05884375310377495,0.602472323877484,0,0.0017954144351320584,0,9.473676168356394e-4
control,0.05876530750868477,0.019038562307139947,0.001125623459545481,3.881460205329245e-5,0,0.6711238768024531,0.008189881033244707,0,0.0732625613755895,0.1682807072020494,0,5.8221903079938674e-5,0,1.1644380615987735e-4
hyper,0.05419807071128788,0.08438990089872334,0,4.394735107341405e-5,0,0.28066975763035884,0.006866773605220945,1.5381572875694917e-4,0.07925904766090223,0.49416598914500426,1.0986837768353513e-5,1.2085521545188864e-4,0,1.2085521545188864e-4
control,0.03386059447244916,0.025656179384668867,0,0.0018193406338721826,2.317631380728895e-5,0.6342661799640767,0.002560982675705429,1.854105104583116e-4,0.10191783996755316,0.19731154759835448,0,0.0022249261254997394,0,1.7382235355466714e-4
hyper,0.03249271137026239,0.041253644314868804,0,1.457725947521866e-4,2.915451895043732e-5,0.6213411078717201,0.01131195335276968,1.0204081632653062e-4,0.05858600583090379,0.23285714285714285,0,2.623906705539359e-4,1.457725947521866e-5,0.0016034985422740526
control,0.06520759252767065,0.05899734562027345,2.5041318174988733e-5,3.7561977262483097e-4,2.5041318174988733e-5,0.2974157359643412,0.00868933740672109,2.2537186357489858e-4,0.08526568838583663,0.4820453748685331,0,5.258676816747634e-4,0,0.0012019832723994591
control,0.0747681933127283,0.06577690362461365,7.024445068839561e-4,0.001264400112391121,0,0.471059286316381,0.015313290250070244,3.3717336330429894e-4,0.11730823264962068,0.2506322000561956,0,0.001376791233492554,0,0.0014610845743186288
hyper,0.06724665820327086,0.028900007467702188,1.8669255470091852e-5,0,0,0.4351990142633112,0.01803450078410873,9.334627735045926e-5,0.08830557837353446,0.36151146292285863,0,1.3068478829064296e-4,0,5.600776641027556e-4
hyper,0.021985179359246924,0.031853317439445514,1.2289088518304598e-5,0.007103093163580057,0,0.5716638196944933,0.002384083172551092,7.61923488134885e-4,0.10896734789180687,0.2432625072198395,0,0.011072468754992442,1.2289088518304598e-5,9.216816388728448e-4
control,0.01875966811981437,0.03391927998874982,0,0.010181409084516946,0,0.6040360005625088,0.004879763746308536,2.3906623540992828e-4,0.02636759949374209,0.2886654478976234,0,0.012839263113486148,0,1.1250175783996625e-4
control,0.06524727470349413,0.056535916370960004,5.594450305297145e-4,6.233816054473962e-4,0,0.2353665164157156,0.018285860426456954,1.118890061059429e-4,0.06881173875515488,0.5534829449186407,0,6.873181803650778e-4,0,2.8771458712956746e-4
hyper,0.06621658219522575,0.017990482454443457,0,0.0012960885209115178,0,0.7201996363214299,0.0032305489998839323,5.803381436917244e-5,0.08975896622432003,0.09958602545749991,0,0.0015475683831779317,0,1.1606762873834487e-4
control,0.045513265232889163,0.09831104519030645,1.0765292696346977e-4,5.9807181646372096e-5,0,0.39400971268629936,0.0036362766440994235,0,0.12398028755292935,0.3342503767852444,0,7.176861797564652e-5,0,5.9807181646372096e-5
hyper,0.04539831219900146,0.08700790880572615,1.9882472495913047e-4,0.0030928290549198075,1.1045818053285026e-5,0.20686608050192198,0.010670260239473336,7.732072637299518e-5,0.060420624751469094,0.583318605575929,0,0.0026620421508416914,1.1045818053285026e-5,2.6509963327884064e-4
control,0.05379204734219269,0.01448297342192691,0,2.465739202657807e-4,0,0.6879931478405316,0.0026733803986710965,6.488787375415283e-5,0.07833264119601328,0.1619341777408638,0,2.7252906976744186e-4,0,2.0764119601328904e-4
hyper,0.03427814453531273,0.06423183455403378,2.4085569459497924e-4,0.0038208471551658073,0,0.19820234067943202,0.010356794867584108,4.488674308360977e-4,0.04757994766862635,0.6366910806757097,0,0.004017910905288972,0,1.3137583341544322e-4
control,0.034328005668844974,0.05031099913392646,4.724037477363987e-4,1.574679159121329e-4,0,0.5858790646405795,0.007440359026848279,5.905046846704984e-5,0.10418470986536493,0.21580977875757815,0,0.001318793795764113,0,3.9366978978033224e-5
hyper,0.08194263523975717,0.07218521886597684,0.002285742374714282,0.0020645414997419323,0,0.2941480079632315,0.0177943814977757,3.440902499569887e-4,0.07884582299014427,0.44645709931919286,0,0.0017204512497849436,0,0.002212008749723499
control,0.024233411231499184,0.0614828978117697,2.974293605268749e-4,3.6824587493803555e-4,1.4163302882232136e-5,0.5622123079102047,0.0063026697825933,0,0.086027901706678,0.257658806033567,0,5.948587210537498e-4,0,8.073082642872318e-4
hyper,0.06473181840205436,0.05169824119385629,0.0011386210572217647,0,0,0.3584960511652696,0.020180241290760213,3.149377392315519e-4,0.08544503125151412,0.41746208634139254,7.267793982266583e-5,1.2112989970444304e-4,0,3.3916371917244053e-4
control,0.06689365942781215,0.062160029896607565,0.001224930448864344,1.6609226425279243e-4,0,0.32599759166216835,0.013100527342939003,1.245691981895943e-4,0.07663081841963211,0.45287132001827013,0,6.436075239795707e-4,0,1.8685379728439148e-4
hyper,0.026683895572756584,0.23961561139616866,1.2545319968385794e-5,7.025379182296045e-4,0,0.21417370250028228,0.0159827376397235,2.509063993677159e-5,0.09053957421184028,0.4109094102445083,0,0.001216896036933422,0,1.3799851965224372e-4
hyper,0.05211968914328261,0.04340205066157879,1.5511812245024587e-5,6.514961142910326e-4,0,0.4406285386321684,0.009105433787829431,1.5511812245024587e-4,0.05771945336373648,0.39483766888485583,0,6.670079265360572e-4,0,6.980315510261064e-4
control,0.06264851032717968,0.08348565161762019,2.7417291171632244e-4,1.599341985011881e-4,0,0.41176201791263023,0.021751050996161578,4.7980259550356425e-4,0.09299031255711936,0.3255346371778468,0,3.4271613964540306e-4,0,5.711935660756717e-4
hyper,0.03531772826168505,0.17212469052442045,6.564633505889414e-4,3.7512191462225225e-4,1.875609573111261e-5,0.3012604096331308,0.00926551129116963,1.875609573111261e-5,0.0901230399879961,0.38900142546327554,0,0.0015192437542201215,0,3.188536274289144e-4
control,0.04780896953098254,0.15595686408764123,2.909962341663814e-4,0.00843889079082506,0,0.24904142416980485,0.010612803834303321,5.135227661759672e-4,0.07680588839438549,0.4397637795275591,0,0.010561451557685723,0,2.0540910647038685e-4
hyper,0.06581872517220015,0.013612012099566312,3.644447683953497e-5,2.551113378767448e-4,0,0.6863406100805423,0.009639564124056999,3.644447683953497e-5,0.07314406501694669,0.15067968949305732,0,3.280002915558147e-4,0,1.093334305186049e-4
hyper,0.04146874241531154,0.05310148746576055,8.321486772303318e-4,9.88176554211019e-4,0,0.44322318920980547,0.01785652369890087,3.4672861551263826e-5,0.0797995908602337,0.3608578065947783,0,0.0017683159391144552,0,6.934572310252765e-5
