target,Prevotella,Faecalibacterium,Klebsiella,Roseburia,Bifidobacterium,Enterobacter,Clostridium,Oscillibacter,Azospirillum,Akkermansia,Ruminococcus,Subdoligranulum,Bilophila,Blautia,Lachnoclostridium,Actinomyces,Desulfovibrio,Coprococcus,Butyricicoccus,Anaerotruncus,Streptococcus,Eggerthella,Acidaminococcus,Butyrivibrio,Flavonifractor,Pyramidobacter,Veillonella,Acidiphilium,Dorea,Ruminiclostridium,Intestinimonas,Peptoclostridium,Coprobacillus,Porphyromonas,Pseudoflavonifractor,Paenibacillus,Holdemania,Tyzzerella,Marvinbryantia,Enterococcus,Oribacterium,Treponema,Robinsoniella
control,0.001999454,0.200694914,2.25445e-4,0.03918987,0.019192027,0.001265061,0.03378158,0.01244622,2.43e-6,2.37e-6,0.003528141,0.044117232,0.003420521,0.0057378180000000004,0.013211418,4.7016e-4,5.09e-5,8.99242e-4,0.001332344,8.77428e-4,1.77863e-4,2.24649e-4,3.11672e-4,0.001073677,8.58334e-4,7.91e-5,4.04502e-4,5.24e-6,0.001426003,0.001454003,5.60588e-4,0.001854669,8.13e-5,3.8034e-4,0.001020901,5.02352e-4,5.1769e-4,5.80347e-4,5.46615e-4,1.25572e-4,4.46377e-4,1.69367e-4,3.52945e-4
hyper,0.520879859,0.060277919,2.8e-5,0.004264009,0.008029141,1.65e-6,0.012913685,0.008724391,6.17e-6,3.39e-5,0.004524036,0.016424599,0.002871625,0.005510072,0.002947034,6.16e-5,6.26e-5,0.002724964,0.001365721,4.49033e-4,2.11998e-4,1.32742e-4,7.56e-5,3.75077e-4,1.81351e-4,3.72e-5,7.7844e-4,5.21e-6,7.34846e-4,6.18228e-4,2.30733e-4,4.80675e-4,7.22e-5,5.53795e-4,2.96849e-4,3.79656e-4,9.07e-5,1.49971e-4,1.96999e-4,8.36e-5,1.13412e-4,1.22872e-4,1.8578e-4
control,0.003812002,0.144297349,5.20589e-4,0.033553354,3.74028e-4,0.001004143,0.044523342,0.008101525,1.27266e-4,6.75264e-4,0.008634222,0.005699281,0.00276136,0.005506754,0.006097913,2.61e-5,7.19e-5,0.004116632,4.2162e-4,0.007426689,3.15123e-4,1.28896e-4,2.19134e-4,0.002380106,2.27937e-4,6.98e-5,3.73819e-4,9.37e-5,0.001601462,0.001150636,4.49969e-4,7.18043e-4,1.81022e-4,2.8854e-4,4.20817e-4,4.87909e-4,2.94367e-4,7.53824e-4,3.7553e-4,2.79597e-4,4.05987e-4,2.40896e-4,2.41916e-4
control,0.502800331,0.024554918,0.007485892,0.010387695,5.2951e-4,5.78e-5,0.01268281,0.004920795,0,1.3e-6,0.00412269,0.002907043,9.96e-5,0.001987525,0.003604749,1.17021e-4,9.7e-5,0.004956958,1.24406e-4,2.54782e-4,0.006431027,1.40346e-4,2.6151e-4,7.373e-4,9.07e-5,2.44e-5,0.001218359,1.63934e-4,0.004692838,3.71088e-4,1.61027e-4,2.48515e-4,4.8e-5,5.29939e-4,1.48192e-4,2.92808e-4,1.07491e-4,2.16573e-4,1.48688e-4,2.24116e-4,1.1387e-4,2.77827e-4,9.55e-5
hyper,0.002003678,0.076328723,0.006075211,0.013707397,2.88746e-4,1.2422e-4,0.023342002,0.002847908,1.57e-5,1.45e-6,0.003801845,4.67151e-4,7.42696e-4,0.002749426,0.008959911,4.65191e-4,2.44e-5,3.569e-4,4.56576e-4,5.11534e-4,1.45785e-4,1.48776e-4,4.91e-5,3.83455e-4,8.28903e-4,1.52e-5,5.2e-5,1.8e-6,0.001105844,5.15968e-4,1.76996e-4,6.00942e-4,5.5e-5,2.00382e-4,2.30562e-4,1.13255e-4,1.63344e-4,4.17908e-4,2.18148e-4,8.04e-5,1.90644e-4,1.65437e-4,8.87e-5
control,0.002397412,0.188455554,8.44539e-4,0.049241291,0.003294927,1.81693e-4,0.029099516,0.002317895,3.25e-6,5.68e-8,0.003274261,0.006916506,7.48e-6,0.008414221,0.00712126,1.33682e-4,1.48e-5,0.001713938,0.00186608,9.63544e-4,1.94804e-4,3.55965e-4,7.39e-5,0.001038308,4.06558e-4,6.53e-5,9.21e-5,7.64e-6,0.001474815,0.001096662,2.08801e-4,0.001201076,7.18e-5,2.9958e-4,2.96049e-4,3.33012e-4,4.49881e-4,6.9081e-4,5.32699e-4,1.87766e-4,4.92713e-4,1.73495e-4,1.97071e-4
control,0.002708025,0.282495738,0.01313982,0.028475907,0.003823775,4.61e-5,0.051118188,0.002233281,2.27e-6,9.15e-8,0.003669218,0.004769334,1.18669e-4,0.010728792,0.016365739,5.18776e-4,1.07e-5,9.67092e-4,0.001190193,0.001512666,1.87363e-4,3.1827e-4,9.59e-5,6.37005e-4,1.45493e-4,3.16e-5,3.30307e-4,4.16e-7,0.001626778,8.20264e-4,2.91128e-4,8.13808e-4,1.42681e-4,7.99e-5,3.05599e-4,3.27764e-4,2.02537e-4,5.5228e-4,3.28103e-4,1.28503e-4,7.44593e-4,1.62738e-4,1.17691e-4
hyper,0.006126234,0.060900378,4.39446e-4,0.024163903,5.72009e-4,7.59e-5,0.054650465,0.001030337,5.71e-5,2.13e-7,0.001793317,4.06613e-4,4.77434e-4,0.005446957,0.010881011,1.01124e-4,1.09e-5,7.80858e-4,8.59317e-4,3.25793e-4,1.47927e-4,1.47079e-4,2.61e-5,6.64984e-4,3.09188e-4,4.07e-5,1.22648e-4,1.46e-6,0.001803978,3.30163e-4,1.77667e-4,8.54754e-4,1.82218e-4,4.1712e-4,5.28437e-4,1.89746e-4,1.64361e-4,8.07142e-4,2.19697e-4,1.13071e-4,3.62442e-4,6.65e-5,1.433e-4
control,0.178928838,0.12092654,0.003975026,0.010225822,7.71472e-4,9.62e-5,0.017814118,0.055798021,0.002805665,2.04895e-4,0.007121617,0.004721352,0.003781503,0.001973456,0.004043955,2.25e-5,5.37064e-4,0.00083204800000000005,5.01098e-4,0.001295053,1.87651e-4,1.4644e-4,3.01628e-4,8.61952e-4,5.83306e-4,1.54365e-4,9.64e-5,1.55022e-4,7.18693e-4,0.001461968,9.23615e-4,6.44146e-4,7.33e-5,1.07243e-4,9.00989e-4,6.02255e-4,3.35848e-4,3.41097e-4,4.40673e-4,1.80335e-4,3.0166e-4,3.2918e-4,2.41488e-4
control,0.272710765,0.263904507,0.007424857,0.00491298,0.001053734,0.011619616,0.013397885,0.008896286,3.66e-7,6.51e-6,0.002317285,0.01573422,6.90633e-4,0.001772575,0.003735828,6.92e-5,1.37e-5,4.03954e-4,0.001262307,6.77492e-4,7.63474e-4,1.83222e-4,1.27619e-4,3.4468e-4,5.38692e-4,5.4e-5,9.58e-5,1.68e-6,5.25547e-4,8.22963e-4,5.07562e-4,5.96756e-4,2.47e-5,7.45e-5,7.57904e-4,2.11613e-4,2.83203e-4,1.36997e-4,1.87011e-4,6.62e-5,2.4389e-4,1.96357e-4,6.54e-5
